Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors,Joined_by_year,Time to Unicorn,ROI
Unacademy,3000000000,2020-09-02,Edtech,Bengaluru,India,Asia,2015,789000000,"Blume Ventures, Nexus Venture Partners, Sequoia Capital India",2020,5,3.802281368821293
Axonius,3000000000,2021-03-01,Cybersecurity,New York,United States,North America,2017,395000000,"Vertex Ventures Israel, Bessemer Venture Partners, Emerge",2021,4,7.594936708860759
Clari,3000000000,2021-03-03,Internet software & services,Sunnyvale,United States,North America,2012,496000000,"Sequoia Capital, Bain Capital Ventures, enaya Capital",2021,9,6.048387096774194
ManoMano,3000000000,2021-07-05,E-commerce & direct-to-consumer,Paris,France,Europe,2013,706000000,"General Atlantic, Piton Capital, Partech Partners",2021,8,4.2492917847025495
Pendo,3000000000,2019-10-17,Internet software & services,Raleigh,United States,North America,2013,357000000,"Contour Venture Partners, Battery Ventures, Core Capital Partners",2019,6,8.403361344537815
Plume,3000000000,2021-02-23,Internet software & services,Palo Alto,United States,North America,2015,722000000,"Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures",2021,6,4.1551246537396125
JumpCloud,3000000000,2021-09-13,Data management & analytics,Louisville,United States,North America,2012,407000000,"Foundry Group, General Atlantic, BlackRock",2021,9,7.371007371007371
Project44,3000000000,2021-06-01,"Supply chain, logistics, & delivery",Chicago,United States,North America,2014,818000000,"Emergence Capital Partners, 8VC, Chicago Ventures",2021,7,3.667481662591687
Sourcegraph,3000000000,2021-07-13,Internet software & services,San Francisco,United States,North America,2013,248000000,"Redpoint Ventures, Goldcrest Capital, Insight Partners",2021,8,12.096774193548388
OwnBackup,3000000000,2021-01-28,Data management & analytics,Englewood Cliffs,United States,North America,2015,507000000,"Insight Partners, Salesforce Ventures, Vertex Ventures",2021,6,5.9171597633136095
Starburst,3000000000,2021-01-06,Data management & analytics,Boston,United States,North America,1999,414000000,"Index Ventures, Coatue Management, Andreessen Horowitz",2021,22,7.246376811594203
Youxia Motors,3000000000,2018-04-02,Auto & transportation,Shanghai,China,Asia,2014,1000000000,"China Environmental Protection Industry, China Fortune Ocean",2018,4,3.0
Zetwerk,3000000000,2021-08-20,Internet software & services,Bengaluru,India,Asia,2018,543000000,"Sequoia Capital India, Kae Capital, Accel",2021,3,5.524861878453039
Cars24,3000000000,2020-11-24,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2015,1000000000,"Moore Strategic Ventures, DST Global, Sequoia Capital India",2020,5,3.0
Ethos,3000000000,2021-05-11,Fintech,San Francisco,United States,North America,2016,407000000,"Sequoia Capital, Google Ventures, Accel",2021,5,7.371007371007371
Komodo Health,3000000000,2020-05-22,Health,San Francisco,United States,North America,2014,314000000,"Andreessen Horowitz, IA Ventures, Felicis Ventures",2020,6,9.554140127388536
Nextiva,3000000000,2021-09-14,Internet software & services,Scottsdale,United States,North America,2008,200000000,Goldman Sachs Asset Management,2021,13,15.0
o9 Solutions,3000000000,2020-04-28,Artificial intelligence,Dallas,United States,North America,2009,417000000,KKR,2020,11,7.194244604316546
Scopely,3000000000,2019-10-29,Mobile & telecommunications,Culver City,United States,North America,2011,999000000,"Greycroft, Sands Capital, Revolution Growth",2019,8,3.003003003003003
Sila Nanotechnologies,3000000000,2019-04-16,Other,Alameda,United States,North America,2011,880000000,"Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners",2019,8,3.409090909090909
Via,3000000000,2020-03-30,Auto & transportation,New York,United States,North America,2012,777000000,"83North, RiverPark Ventures, Pitango Venture Capital",2020,8,3.861003861003861
Transmit Security,3000000000,2021-06-22,Cybersecurity,Tel Aviv,Israel,Asia,2014,583000000,"General Atlantic, Insight Partners, Vintage Investment Partners",2021,7,5.145797598627787
BlockDaemon,3000000000,2021-09-21,Fintech,Los Angeles,United States,North America,2016,398000000,"BOLDstart Ventures, Lerer Hippeau, Kenetic Capital",2021,5,7.5376884422110555
Convoy,3000000000,2018-09-21,"Supply chain, logistics, & delivery",Seattle,United States,North America,2015,666000000,"Greylock Partners, capitalG, Y Combinator",2018,3,4.504504504504505
Dream Games,3000000000,2021-06-30,Mobile & telecommunications,Istanbul,Turkey,Europe,2019,468000000,"Makers Fund, Index Ventures, Inova Ventures Participacees",2021,2,6.410256410256411
Illumio,3000000000,2015-04-14,Cybersecurity,Sunnyvale,United States,North America,2013,558000000,"Data Collective, Formation 8, General Catalyst Partners",2015,2,5.376344086021505
MasterClass,3000000000,2021-05-13,Edtech,San Francisco,United States,North America,2015,461000000,"Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners",2021,6,6.507592190889371
Graphcore,3000000000,2018-12-18,Artificial intelligence,Bristol,United Kingdom,Europe,2016,682000000,"Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners",2018,2,4.39882697947214
